date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,10.2,3,18.4,,,,1.9,,1018.2,
2021-01-02 00:00:00,12.9,7.2,18.8,,,,4,,1016.9,
2021-01-03 00:00:00,13.3,9.9,19.5,24.9,,,7.2,,1014.9,
2021-01-04 00:00:00,16.8,11.4,22.4,15,,,4.8,,1016,
2021-01-05 00:00:00,17.7,13.2,22.6,5.1,,,4.7,,1015.6,
2021-01-06 00:00:00,17.1,13,20.8,59.9,,,5.1,,1015.4,
2021-01-07 00:00:00,15.5,12.4,21.3,6.1,,,5.5,,1015,
2021-01-08 00:00:00,13.6,9.6,19.9,0,,,1.9,,1014.9,
2021-01-09 00:00:00,14.9,11.4,19.6,,,,5.6,,1015.5,
2021-01-10 00:00:00,13.1,9,16.8,,,,9.3,,1016.3,
2021-01-11 00:00:00,11.8,8.4,16.8,,,,10,,1016.8,
2021-01-12 00:00:00,11.2,5.8,17.4,,,,19,,1017,
2021-01-13 00:00:00,10.3,4.8,16.8,,,,4.5,,1016.4,
2021-01-14 00:00:00,10.7,4.2,19,,,,1.2,,1016.5,
2021-01-15 00:00:00,12,6.8,20,,,,1.7,,1015,
2021-01-16 00:00:00,11.7,7.8,18.2,,,,4.1,,1013.6,
2021-01-17 00:00:00,11.3,7.4,16.6,,,,5.4,,1015.6,
2021-01-18 00:00:00,13.8,9.8,19.4,,,,4.4,,1016.4,
2021-01-19 00:00:00,13.3,8.6,20.2,,,,7,,1014.4,
2021-01-20 00:00:00,13.1,9,18.2,,,,12.3,,1014.5,
2021-01-21 00:00:00,14.5,9.8,23,,,,8.5,,1013.4,
2021-01-22 00:00:00,11.6,5.4,18,,,,5.2,,1014.9,
2021-01-23 00:00:00,13.5,9.4,20,,,,6.9,,1013.2,
2021-01-24 00:00:00,12.5,9,17.4,,,,5.6,,1016,
2021-01-25 00:00:00,11.6,8,17.4,,,,4.4,,1018.4,
2021-01-26 00:00:00,12.2,6,20.2,,,,4,,1018,
2021-01-27 00:00:00,12.6,7,20.8,,,,5.1,,1017.5,
2021-01-28 00:00:00,11.7,5.4,18.8,,,,1.8,,1018.5,
2021-01-29 00:00:00,11.9,5.4,20.4,,,,5.2,,1018.9,
2021-01-30 00:00:00,12.6,6.4,21.2,,,,7.6,,1017.3,
2021-01-31 00:00:00,13.1,5,23.8,,,,3.1,,1017.5,
2021-02-01 00:00:00,14.8,7.2,26.2,,,,2.2,,1019.3,
2021-02-02 00:00:00,15.9,8,26.6,,,,1.9,,1017.6,
2021-02-03 00:00:00,17.5,10.8,26,,,,5.3,,1015.9,
2021-02-04 00:00:00,15.9,12.2,26.1,1,,,5.7,,1016.4,
2021-02-05 00:00:00,14.6,6.8,23.2,2,,,3.4,,1017.8,
2021-02-06 00:00:00,14.2,7.4,23,0,,,5.6,,1018.2,
2021-02-07 00:00:00,15,9.5,23,,,,6.1,,1017.9,
2021-02-08 00:00:00,15.9,9.6,24.2,,,,4,,1017.9,
2021-02-09 00:00:00,16.6,9.6,26,,,,3.8,,1014.8,
2021-02-10 00:00:00,18.1,11.6,29.4,,,,2.8,,1013,
2021-02-11 00:00:00,18,11.4,27,,,,2.7,,1013.8,
2021-02-12 00:00:00,17.9,12.1,27,,,,3.1,,1014.9,
2021-02-13 00:00:00,18,12.1,27,,,,0.9,,1015.1,
2021-02-14 00:00:00,18.5,10,28,,,,1.1,,1014.5,
2021-02-15 00:00:00,19.5,11,29.2,,,,2.8,,1012.7,
2021-02-16 00:00:00,19.8,13,29.2,,,,1.9,,1012.3,
2021-02-17 00:00:00,18.9,12,27,,,,1.6,,1014,
2021-02-18 00:00:00,18.5,11,28,,,,0.9,,1016.8,
2021-02-19 00:00:00,18.3,11,26.4,,,,3.6,,1019,
2021-02-20 00:00:00,18.2,12,27,,,,3.8,,1019.1,
2021-02-21 00:00:00,18.8,11.6,28,,,,5.2,,1017.4,
2021-02-22 00:00:00,19.7,13,29,,,,6,,1015.2,
2021-02-23 00:00:00,21.2,12.6,31.2,,,,3.8,,1012.7,
2021-02-24 00:00:00,21.7,13,32,,,,4.1,,1011,
2021-02-25 00:00:00,22.3,14.6,33,,,,5.3,,1009.7,
2021-02-26 00:00:00,23.7,16,33,,,,7.3,,1007.3,
2021-02-27 00:00:00,24.1,18.6,32,,,,6.7,,1006.7,
2021-02-28 00:00:00,23.4,17,32,,,,4.1,,1009.8,
2021-03-01 00:00:00,21.1,13,28.2,,,,6.9,,1013.8,
2021-03-02 00:00:00,21.9,15.6,28.4,,,,10.7,,1014.1,
2021-03-03 00:00:00,21.8,14,31,,,,6.9,,1012.2,
2021-03-04 00:00:00,22.9,14,34,,,,2,,1011.6,
2021-03-05 00:00:00,22.9,15.6,31,,,,7.6,,1011.3,
2021-03-06 00:00:00,23.3,16,31.4,,,,7.3,,1010.5,
2021-03-07 00:00:00,24.6,16.4,33.6,,,,6.3,,1009.3,
2021-03-08 00:00:00,25,20.2,32,,,,7.8,,1010.4,
2021-03-09 00:00:00,26.1,20.1,34,,,,5.2,,1011.5,
2021-03-10 00:00:00,26.2,18.2,34.2,1,,,2.7,,1011.7,
2021-03-11 00:00:00,27.1,17.2,35,0,,,4,,1012.6,
2021-03-12 00:00:00,25,17.9,35.2,3,,,8.3,,1014.6,
2021-03-13 00:00:00,25,15.2,31,8.9,,,2.7,,1015.4,
2021-03-14 00:00:00,24.6,14,31.2,0,,,4.8,,1012.7,
2021-03-15 00:00:00,24.3,17.4,32,,,,5.6,,1011.5,
2021-03-16 00:00:00,24.6,18.3,32,,,,6.1,,1011.6,
2021-03-17 00:00:00,25.3,18.6,34,,,,3.9,,1010.1,
2021-03-18 00:00:00,25.4,18.2,34,,,,3.7,,1010.1,
2021-03-19 00:00:00,25.7,19.7,34.4,,,,4.4,,1009.8,
2021-03-20 00:00:00,25.5,18.6,33.2,,,,6.2,,1008.4,
2021-03-21 00:00:00,26.4,17.6,35,,,,3.4,,1007.7,
2021-03-22 00:00:00,26.3,21,32.8,,,,5.5,,1010.8,
2021-03-23 00:00:00,24.4,21.2,30.6,,,,7.1,,1013.1,
2021-03-24 00:00:00,26.8,16,33,0,,,7.6,,1013.2,
2021-03-25 00:00:00,23.8,18.8,30,,,,9.8,,1012.9,
2021-03-26 00:00:00,24.3,18,32,,,,7.8,,1011.1,
2021-03-27 00:00:00,26.2,17.8,35,,,,5.7,,1009.1,
2021-03-28 00:00:00,27.5,19,37,,,,2.8,,1006.5,
2021-03-29 00:00:00,29.7,22,40,,,,5.8,,1003.7,
2021-03-30 00:00:00,29.7,20.8,37.8,,,,12.3,,1000.1,
2021-03-31 00:00:00,28.6,23,34.6,,,,13.6,,1000.6,
2021-04-01 00:00:00,27.5,21,34,,,,12.9,,1002,
2021-04-02 00:00:00,26,18.8,34.2,,,,6.9,,1005,
2021-04-03 00:00:00,24.8,13.4,35,,,,3.2,,1007.9,
2021-04-04 00:00:00,26.3,15.8,37,,,,5.1,,1008.7,
2021-04-05 00:00:00,29,20,39,,,,5.9,,1007.1,
2021-04-06 00:00:00,29.8,22,37.6,,,,6.8,,1005.7,
2021-04-07 00:00:00,29.1,23.2,35.6,,,,6,,1007.9,
2021-04-08 00:00:00,27.4,20,35,,,,6.9,,1008,
2021-04-09 00:00:00,26.5,15.8,36.4,,,,5.7,,1008.7,
2021-04-10 00:00:00,27.3,18.4,37,,,,6.1,,1009.9,
2021-04-11 00:00:00,28.3,18.6,38.8,,,,6.6,,1009.9,
2021-04-12 00:00:00,29.3,20,39,,,,4.8,,1010.3,
2021-04-13 00:00:00,30.2,21,39.4,,,,8.3,,1008.8,
2021-04-14 00:00:00,30.7,22,39.6,,,,8.5,,1007.2,
2021-04-15 00:00:00,31.1,23.6,40.4,,,,8.6,,1006.2,
2021-04-16 00:00:00,29.8,21.6,39.8,,,,6.3,,1005.8,
2021-04-17 00:00:00,27.4,18.2,40,2,,,7.3,,1008.8,
2021-04-18 00:00:00,28,18.3,35.4,0,,,4.3,,1010.2,
2021-04-19 00:00:00,29.1,20.4,37.3,,,,6.1,,1006.3,
2021-04-20 00:00:00,27.5,21,34,,,,7.5,,1005.3,
2021-04-21 00:00:00,26.9,19.2,33.8,0,,,10.3,,1007.5,
2021-04-22 00:00:00,27.4,21.4,33.2,,,,6.9,,1009.8,
2021-04-23 00:00:00,26.6,22.2,32.6,,,,11.4,,1008.3,
2021-04-24 00:00:00,26.5,18.4,33,,,,6.7,,1009.1,
2021-04-25 00:00:00,28.3,20,36.8,,,,6.3,,1008.7,
2021-04-26 00:00:00,29.5,18.4,39.8,,,,5.1,,1006.6,
2021-04-27 00:00:00,31.6,21.4,41.4,,,,4.9,,1005.4,
2021-04-28 00:00:00,32.7,23.4,41.6,,,,5.8,,1006,
2021-04-29 00:00:00,33.1,24.6,41.8,,,,6.2,,1005.9,
2021-04-30 00:00:00,32.3,23.2,42.1,0,,,3.9,,1005.7,
2021-05-01 00:00:00,33.2,27.8,40.8,,,,6,,1005.9,
2021-05-02 00:00:00,31.9,26,39.4,,,,5.4,,1006.3,
2021-05-03 00:00:00,31.5,25.6,38.6,,,,5.8,,1004.8,
2021-05-04 00:00:00,32.7,26.2,40.6,,,,6.4,,1003.2,
2021-05-05 00:00:00,32.7,24,41.6,0,,,6.6,,1004,
2021-05-06 00:00:00,30.7,23.6,39.4,,,,8.6,,1006,
2021-05-07 00:00:00,28.7,22.7,35.2,,,,5.9,,1008.2,
2021-05-08 00:00:00,31,24.2,38.4,,,,3.8,,1006.7,
2021-05-09 00:00:00,31.4,25.6,39,,,,6.3,,1004.8,
