date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,,,,,,,,,,
2021-01-02 00:00:00,16.5,10.4,23.6,0,,,11,,1016.4,
2021-01-03 00:00:00,16.4,10.5,22.5,0,,,11.6,,1015.1,
2021-01-04 00:00:00,16.8,11,22.6,0,,,10.7,,1015.1,
2021-01-05 00:00:00,17.3,11.7,23.2,0,,,10.9,,1016.4,
2021-01-06 00:00:00,17.6,10.9,23.6,0,,,9.2,,1016.5,
2021-01-07 00:00:00,17.3,11.3,23.4,0,,,12.3,,1015.6,
2021-01-08 00:00:00,15.4,9.7,21.4,0,,,15.4,,1015.4,
2021-01-09 00:00:00,15.7,9,22.8,0,,,17,,1017,
2021-01-10 00:00:00,17,10.6,24.3,0,,,15.8,,1017.1,
2021-01-11 00:00:00,17.1,10.5,24.8,0,,,11.9,,1017.4,
2021-01-12 00:00:00,16.8,9.9,24.2,0,,,10.2,,1017.5,
2021-01-13 00:00:00,17.1,11.3,23.4,0,,,8.4,,1015.5,
2021-01-14 00:00:00,17.7,11.6,22.8,0,,,8.2,,1013.7,
2021-01-15 00:00:00,18.3,13.1,24.5,0,,,10.9,,1013.1,
2021-01-16 00:00:00,18.1,12.2,25.6,0,,,11.1,,1012.8,
2021-01-17 00:00:00,17.4,10.7,23.1,0,,,10,,1012.1,
2021-01-18 00:00:00,19.1,13.3,25.7,0,,,12.4,,1014.6,
2021-01-19 00:00:00,17.9,13.1,23.2,0,,,11.1,,1015.9,
2021-01-20 00:00:00,18.7,14.1,23.1,0,,,8.7,,1015.6,
2021-01-21 00:00:00,20.6,17.6,24.1,0,,,14.1,,1014.5,
2021-01-22 00:00:00,21.9,19.9,24.7,0,,,20.9,,1011.9,
2021-01-23 00:00:00,20.3,16,25.9,0,,,18.6,,1014.3,
2021-01-24 00:00:00,17.1,10.2,24,0,,,13.1,,1016.3,
2021-01-25 00:00:00,16.8,10.6,23.5,0,,,10.7,,1017.9,
2021-01-26 00:00:00,17,11.3,22.6,0,,,9.9,,1017.2,
2021-01-27 00:00:00,17.5,11.8,23.4,0,,,10.1,,1016.9,
2021-01-28 00:00:00,18,12,24.2,0,,,10.6,,1017.8,
2021-01-29 00:00:00,17.6,11.5,23.3,0,,,10.2,,1018.6,
2021-01-30 00:00:00,17.7,12.2,23.3,0,,,10.4,,1017.4,
2021-01-31 00:00:00,20.1,16.4,23.8,0,,,14.6,,1015.7,
2021-02-01 00:00:00,20.8,17.5,24.6,0,,,10.5,,1017.1,
2021-02-02 00:00:00,20.6,17,25,0,,,10.8,,1017.5,
2021-02-03 00:00:00,20.7,16.1,25.5,0,,,10.9,,1015.6,
2021-02-04 00:00:00,21.5,16.1,26.5,0,,,19.1,,1016.3,
2021-02-05 00:00:00,20.5,15.4,25.3,0,,,14.1,,1018.1,
2021-02-06 00:00:00,19.6,13.2,25.7,0,,,12.5,,1018.1,
2021-02-07 00:00:00,20,13.9,25.7,0,,,12.3,,1017.7,
2021-02-08 00:00:00,20.4,13.9,27,0,,,11.6,,1017.5,
2021-02-09 00:00:00,20.9,17,25.7,0,,,12,,1015,
2021-02-10 00:00:00,21.6,15,29.1,0,,,10.1,,1013.1,
2021-02-11 00:00:00,22.5,16.8,29.1,0,,,10,,1012.7,
2021-02-12 00:00:00,22.4,16.4,28.7,0,,,12.2,,1012.8,
2021-02-13 00:00:00,21.7,16,28.1,0,,,10.7,,1013.9,
2021-02-14 00:00:00,21.5,17.4,26.3,0,,,14,,1013.8,
2021-02-15 00:00:00,21.6,17.8,25.6,0,,,12.7,,1012.7,
2021-02-16 00:00:00,21.7,18.2,26.2,0,,,9.9,,1012.6,
2021-02-17 00:00:00,22.2,15.6,28.9,0,,,11.8,,1013.8,
2021-02-18 00:00:00,22.5,15.9,29.3,0,,,12.8,,1015.2,
2021-02-19 00:00:00,24.1,17.5,30.5,0,,,15.4,,1017.1,
2021-02-20 00:00:00,23.5,16.8,29.9,0,,,11.6,,1017.3,
2021-02-21 00:00:00,23.8,16.9,30.1,0,,,12.7,,1016.8,
2021-02-22 00:00:00,23.7,18.5,29.8,0,,,12.7,,1016.1,
2021-02-23 00:00:00,23.1,19.7,26.9,0,,,17.8,,1013.8,
2021-02-24 00:00:00,23.3,20.7,26.4,0,,,17.5,,1011.3,
2021-02-25 00:00:00,24,20.1,28.3,0,,,16.8,,1011.5,
2021-02-26 00:00:00,24.9,21.8,29.7,0,,,18.6,,1010.6,
2021-02-27 00:00:00,25.2,22,30.7,0,,,16.2,,1009.9,
2021-02-28 00:00:00,24,18.9,29.3,0,,,19,,1011,
2021-03-01 00:00:00,23,16.1,29.1,0,,,12.1,,1014.3,
2021-03-02 00:00:00,23,16.5,29.3,0,,,11.9,,1016,
2021-03-03 00:00:00,23.8,20,28.6,0,,,15.3,,1013.3,
2021-03-04 00:00:00,25,20.8,30.9,0,,,12.4,,1011.9,
2021-03-05 00:00:00,24.4,18.6,31.4,0,,,10.6,,1012.8,
2021-03-06 00:00:00,23.9,18.8,28.3,0,,,14.2,,1012.1,
2021-03-07 00:00:00,25.3,22,28.9,0,,,21,,1009.2,
2021-03-08 00:00:00,24.8,21.7,28.7,0,,,15.5,,1010.9,
2021-03-09 00:00:00,24,20.1,29.6,0,,,11.2,,1012.4,
2021-03-10 00:00:00,23.2,19.8,27.2,0,,,14.7,,1012.6,
2021-03-11 00:00:00,23.7,19.9,27.5,0,,,14.8,,1011.7,
2021-03-12 00:00:00,24.9,21.4,29.6,0,,,10.2,,1013.2,
2021-03-13 00:00:00,26.1,20.9,31.8,0,,,16.3,,1015.5,
2021-03-14 00:00:00,24.9,19.1,30.4,0,,,12,,1013.5,
